,Business_Description,SD_Accept_reject
15,company is engaged in providing technology services for GIS software and application development domains with capability to integrate spatial and non-spatial data on web based platform for data entry and management.It also provides CAD/CAM design services. Main Income is from software. ,Accept
16,"Company is engaged in providing  transportation planning, traffic engineering, architecture, urban infrastructure and project management.  Main Income is from consultancy fees.",Reject
17,Company is engaged in providing Geospatial software solutions including cartography and remote sensing. Main Income is from software services.,Accept
18,"The company is engaged in providing biological and chemical contract research, product development and testing.  Main Income is from testing charges.",Reject
19,"company is engaged in providing implimentation, analytics, consulting, Business Process reengineering, tech audit & analysis.  Main Income is from computer software .",Reject
20,"Company is engaged in providing strategy, consulting, digital & technology consulting.  Main Income is from BPO services.  ",Reject
21,"Company is engaged in providing Revenue Cycle Management, IT services, and finance and accounting BPO.  Main Income is from medical billing and revenue.",Reject
22,"The company is engaged in offering auto gauging stations, air gauges, measuring machines, and other precision engineering components. Main income is from 3D coordinate measuring machines.  ",Reject
23,"Company is engaged in providing Document Management, Digital Publishing and Data Conversion solutions. they are a digital content provider and also deliver digital content, and website and app development. main income is from computer software.",Reject
24,"The company is engaged in providing agricultural products and services such as prawns and fish, frozen fruits, vegetables, goat, and cow farming services. Main income is from software development.",Reject
25,"The company is engaged in R&D projects to commercialise technologies for the Group's businesses in collaboration with its technology, production and marketing divisions(engineering and material sciences). Main income is from retainership fee.",Reject
26,Company is engaged in providing security surveillance services. Mian income is from security products.  ,Reject
27,"Company is engaged in providing SAP Consultancy services. They offer ERP implementation and support services. Their services include process analysis, and implementation and rollouts, ongoing support, maintenance, and upgrades. Main income is from IT. ",Accept
28,"Company is engaged in providing design, implementation, and integration of SAP solutions; it optimizes business processes; and provide strategic business consultation services. The company offers a range of business solutions, such as business and technology consulting, enterprise solutions, systems integration, custom application development, application maintenance and production support, infrastructure management, cloud ecosystem integration, product engineering and lifecycle solutions, business process management, software products, and business platforms and solutions. main income is from consultancy and support services.",Accept
29,Company is engaged in providing Manufacturer of sennheiser headphones. Main income is from audio visual equipments.,Reject
30,Company is engaged in providing of high-end analytics services to solve complex business problems.  Main Income is from services.,Reject
31,The company is engaged in manufacturing and selling pharmaceutical formulations to the pharmaceutical companies in India. Main Income is from medicines.,Reject
32,"Company is engaged in providing computer peripherals, clinical instrument and clinical softwares. Main Income is from services. ",Reject
33,The company is engaged in providing computer related services and consulting.   Main Income is from analytical & testing & measurement equipment. ,Reject
34,"company is engaged in providing custom software development, web application development and maintenance, software product testing, product engineering and application reeingineering.",Accept
35,The company is engaged in  providing professional architectural services.   Main Income is from Arch. & Eng. Activities & Technical Consultancy,Reject
36,"The company is engaged in providing Civil, Structural and Architectural Consultancy to Other Consultants, Government agencies and Private Companies/NGO’s etc  Main Income is from Consultancy In Engineering",Reject
37,"company is engaged in providing Information Technology (IT) and Information Technology (IT) enabled services including Banking transaction processing services and Document management services for telecommunication companies, internet services provider, payment banks etc. The company offers a comprehensive suite of solutions through a combination of leading edge technology, distinctive domain knowledge, professional management and a strong presence across the country.  Main Income is from Data Processing Charges",Reject
38,"The company is engaged in offering engineering services, as well as heating, ventilation, and air conditioning (HVAC) works.  Main Income is from Construction Contracts. The company operates in two segments viz manufacturing(1%) and construction contracts(99%)[2018].",Reject
39,"The company is engaged in providing designing, developing, manufacturing, and selling test and measuring equipment for the defense and telecommunication sectors  Main Income is from Low Insulation Cable Fault Locator",Reject
40,Company is engaged in providing revenue cycle management solutions to healthcare providers.  Main Income is from Business Process Outsourcing Services,Reject
41,The company effectively liaises with various government departments in India to ensure transparency and efficiency in the delivery of various services to people (e-govt. services for govt.)  Main Income is from E-Governance Services. The company operates in two segments viz e-governance services(91%) and e-governance trading(9%)[2018].,Reject
42,"The company is engaged in manufacturing and selling veterinary products for livestock, poultry, and companion animals worldwide.  Main Income is from Bulk Drugs",Reject
43,"Company is engaged in providing designing, developing, deploying and delivering end-to-end IT Infrastructure services, providing services like data center solutions, IaaS, virtualization, network engineering, and contact center solutions.  Main Income is from Software Development Services. The company operates in two segments viz enterprise computing based solutions(70%) and infrastructure management services(30%)[2017].",Reject
44,"Company is engaged in providing HR outsourcing including payroll solutions. it also provides Contact Center Solutions, Back Office Solutions, Mortgage Solutions, Anti-Money Laundering Compliance and Consulting, Business Process Outsourcing, Revenue Cycle Management, Voice Intelligence and Analytics, Financial Processing, Payables and Receivables management. Main Income is from It Enabled Services",Reject
45," Company is engaged in providing specializing in optimization of physician practice income through reimbursement and coding expertise, and efficient billing and accounts receivable management. It also provides also cabling solutions  Main Income is from It Enabled Services",Reject
46,"Company is engaged in providing end- to end solution providers across Business Process Outsourcing, Customer Management Outsourcing and IT Services, serving host of clients across many sectors.  Main Income is from Data Processing. The company operates in two segments viz ITeS(95%) and OTHER(5%)[2016].",Reject
47,"Company is engaged in providing IT and software services, developing software products and automated tools, for the travel trade industry including customized software products for travel agents and travel service providers.  Main Income is from Software Services",Reject
48,The company is engaged in providing professional engineering services.  Main Income is from Services. The company operates in two segments viz Entrepreneur Segment(21%) and Workshare Segment & Back Office Services(79%)[2018].,Reject
49,"The company is engaged in manufacturing custom tablets, capsules, powders, and granulations.  Main Income is from Pharmaceutical Items",Reject
50,"The company is engaged in providing development of embedded software and systems for audio, multi-media, and RF wireless markets.  Main Income is from Software Development Services. The company operates in two segments viz chip design and software development(97%) and marketing and sales support(3%)[2017].",Reject
51,"The company is engaged providing services of mine tools, power sector & mining sector .  Main Income is from Services.",Reject
52,"The company is engaged in providing engineering, procurement, and construction contracting services.  Main Income is from Project Revenue",Reject
53,Company is engaged in providing website development and optimization  Main Income is from Services,Reject
54,"company is engaged in providing Analysis, Design, and Programming of Business Applications, Feasibility Studies and Proof of Concept Development, Prototype and Quality Assurance, Professional Development Training, Project Leadership and Management  Main Income is from Software Service Income",Reject
55,The company is engaged in providing services for demand for a Clean Technology Development Center (CTDC) where various Eco-friendly or green production techniques are conceived and developed for the industries. (environmental and microbiological tech)  Main Income is from Analytical Testing Services,Reject
56,The company is engaged in generic product development including in licensing and out licensing of value added pharma products.  Main Income is from Consultancy,Reject
57,"The company is engaged in providing solutions to all Industries by its shop/vendor Testing, Inspection and Certification Services.  Main Income is from Industrial Services",Reject
58,"Company is engaged in providing financial services to the healthcare industry. The Company offers services related to patient admission, charge capture, claims processing, and receivables management. Apollo Health Street serves customers worldwide.  Main Income is from It & It Enabled",Reject
59,Company is engaged in providing cloud computing services.  Main Income is from Services,Reject
60,"The company is engaged in providing Data processing & services.
  Main Income is from It Enabled Services",Reject
61,"company is engaged in providing ""Government to Citizen""​ (G2C) and ""Business to Citizen""​ (B2C) services in the states of Andhra Pradesh and Telangana, India. Provides eGovernance and Digital services to both the state governments.   Main Income is from Transaction Revenue",Reject
62,"The company is engaged in providing Cloud Computing, Infrastructure Management, and Product Engineering. Main Income is from Services",Reject
63,"The company is engaged in consultancy for architecture, urban design, interiors, landscape and product design.   Main Income is from Profit From F & O",Reject
64,company is engaged in providingdesigns and develops communications software for the communications industry  Main Income is from Software Services,Reject
65,Adequate qualatitive information is not available.  Main Income is from Maintenance & Support Services,Reject
66,company is engaged in providing gaming software & services  Main Income is from Information Technology Software. The company operates in two segments viz IT software support services(90%) and support services(10%)[2017].,Reject
67,"The company is engaged in providing engineering, architectural, and project management consultancy services for highways, urban infrastructure, and airports.  Main Income is from Project Consultancy Income",Reject
68,"The company is engaged in manufacturing Walkie Talkie, Highway management, and Vehicle tracking systems.   Main Income is from Radio Sets.The company operates in three segments viz Smr voive(46%), MDA(44%) and HTMS(non-voice)(10%)[2018].",Reject
69,"Company is engaged in providing back-end processing of mortgages, real estate title services and accounting services ensuring accuracy, efficiency, compliance, and cost-reduction.  Main Income is from It Enabled Services",Reject
70,"The company is engaged in manufacturing specialty chemicals.  Main Income is from It Park Operations. The company operates in three segments viz IT Park operations(90%), power genration(7%) and safety matches manufacture(3%)[2017].",Reject
71,"Company is engaged in providing cloud-based collaboration solution for information management across the company and its projects. The company enables collaboration around projects, documents, drawings, and building information modeling (BIM) files in the cloud, transforming their information into knowledge for sharing with their project partners. It specializes in document management, project management, sourcing, procurement, collaborative BIM, and plugins. Main Income is from Services",Reject
72,company is engaged in providing strategy and technology implementation services to companies wanting to optimize or re-engineer their existing business.  Main Income is from Service,Reject
73,Company is engaged in providing cloud computing services to the healthcare sector  Main Income is from Software Development Charges,Reject
74,"Company is engaged in providing system integration for key government projects, enabling the Central and State Governments to administer and deliver E-Governance Services  Main Income is from It Design And Development Service. The company operates in three segments viz e-governance(35%) retail and other services(37%)and hospitality(28%)[2018].",Reject
75,Company is engaged in providing SAP training in India  Main Income is from Computer Software,Reject
76,"Company is engaged in providing enterprise software solutions. The Company offers creative, product testing, perform surveys, and market insights for organizations. Attest Technologies serves customers  Main Income is from Income From Testing Services",Reject
77,The company is engaged in manufacturing and selling front and rear engine three wheeler automobiles.  Main Income is from Three Wheelers,Reject
78,"Company is engaged in providing developing big data analytics platform for enterprises. The company offers MAXIQ, an application that brings the power of automation and do-it-yourself approach to big data, as well as enables business analysts to connect, collect, fuse, analyze, and discover all the data together.  Main Income is from Software Consultancy",Reject
79,"Company is engaged in providing Design, Development and Manufacture of Embedded Products & Enterprise Software Solutions.  Main Income is from Software Services",Reject
80,"Company is engaged in providing data security & digital systems solutions. It offers queue management systems, customer feedback system and custom product development for payment services. Main Income is from Software Development & Services.",Accept
81,"The company is engaged in manufacturing sheet metal components, sub-assemblies and assemblies,Foot Control Modules, parking brakes,etc in the Automobile Industry.   Main Income is from Engineering Services",Reject
82,Company is engaged in providing business Process Automation  Main Income is from Software Services,Reject
83,"company is engaged in providing unified communications, contact centers, and related services to businesses and organizations. Its products include contact center software, such as interaction management, reporting and analytics, and self service; data networking, including access control, Ethernet switching, unified branch, unified communications management, virtual enterprise network architecture, and wireless networking; small business products, such as business communications manager and software communication system; united communications software; and hardware, such as phones and servers.  Main Income is from It & It Enabled Services",Reject
84,Company is engaged in providing end to end engineering solutions and product company.It caters to the engineering and smart manufacturing needs of large enterprises  Main Income is from Engineering Design Services,Reject
85,"Company is engaged in providing  ERP solutions, such as Microsoft Dynamics NAV, Microsoft Dynamics AX, and Microsoft Dynamics 365. Further, it offers consulting and IT implementation services, as well as managed services.   Main Income is from Software Development",Reject
86,"Company is engaged in providing infotainment services. The company produces and distributes films; produces animation films/projects, as well as contents of Web-series, films, and TV serials; and produces television programs. The company also operates a 3-G technology based mobile entertainment portal. In addition, it offers event, brand promotion, and digital signage services.  Main Income is from Income From Distribution. The company operates in two segments viz information technologies and services(69%), media and entertainment(30%) and other income(1%)[2017].",Reject
87,The company is engaged in offering coal mining and other related services.  Main Income is from Mining & Infra,Reject
88,"Company is engaged in providing provision of outsourced visa and passport, front end and citizen, consular and passport, verification and attestation and E-Visa services. It manages administrative and non-judgmental tasks related to these services for diplomatic missions, enabling them to focus on key aspects of assessment of visa applications.  Main Income is from Data Processing",Reject
89,"Company is engaged in providing design, development, maintenance, and support of enterprise software products and solutions. It provides enterprise management solutions, including enterprise systems, applications, and databases and service management.  Main Income is from Software Development",Reject
90,Company is engaged in providing BNY Mellon technology solutions to the bank.  Main Income is from Software Development Services. The company operates in one segment ITeS(100%)[2018].,Reject
91,"The company is engaged in providing services including feed endorsement, 3D modeling, pre-bid engineering, analysis,etc.  Main Income is from Engineering Services",Reject
92,"The company is engaged in manufacturing and selling scooters, motor cycles, three-wheeler vehicles, and spare parts.   Main Income is from Motorised Two Wheelers & Three Wheelers",Reject
93,"Company is engaged in providing IT hardware products. The Company offers desktops, laptops, motherboards, hard disk drives, smartphones, and related peripherals.   Main Income is from Computer Parts & Peripherals",Reject
94,"Company is engaged in providing valuation and audit services  Main Income is from Architectural,Engineering & Other Tech. Act.",Reject
95,Company is engaged in providing provides end-to-end world class technology and operations solutions & services to Barclays businesses globally.  Main Income is from Software Development Services,Reject
96,"Company is engaged in providing software products for industrial machinery and equipment, hi-tech, consumer goods, new product design, and the manufacturing industry segments, as well as for aerospace and defense, food and beverage, furniture, high tech electronics, medical devices, downstream refineries and petrochemical, pharmaceuticals, upstream oil and gas, and water and waste water treatment industries. It offers Microsoft business, global, and extended enterprise solutions; SMPlus, a product that provides management of security for users and functions  Main Income is from Software",Reject
97,"Company is engaged in providing application development, management, IT infrastructure management. Main Income is from Aidc Hardware, Software, Smartcards & Magnetic Car.",Reject
98,"The company is engaged in distributing generic medicine, crop protection, women's health, diagnostic imaging, specialty drug, environmental science, and animal health products.   Main Income is from Tablets / Capsules (Trade). The company operates in two segments viz Pharma(54%) and animal health(46%)[2018].",Reject
99,The company is engaged in offering professional (structural) engineering services.  Main Income is from Services,Reject
100,"Company is engaged in providing  employee management software (HRMS). It offers solutions with a  SaaS based subscription model, for error free payroll management,  and for process of leave management and attendance calculations. Main Income is from Services",Accept
101,"The company is engaged in manufacturing aluminium aerosol containers, collapsible tubes, seamless bottles, marker barrels, cigar containers, rigid cans and containers &  providing complete solutions in aluminium impact extruded packaging materials.
  Main Income is from Aluminium Cans & Containers",Reject
102,"Company is engaged in providing  traffic engineering solutions, It also provides personnel management solutions, student information systems; and customized solutions, including automated binning systems, BGIL’s intelligent converters, GSM based mast or I/O controllers, GSM logic controllers, boom barriers, loop detectors, LED panels, and kiosk applications, as well as other customizable converters, counters, etc.  Main Income is from Income From Operations. The company operates in two segments viz ITdivision(98%) and media and entertainment(2%)[2018].",Reject
103,"company is engaged in providing technology consulting and implementation, in the areas of eCRM, eBusiness and IT application development, the company offers a range of services to the eEnterprise and eBusiness space through its solution and services for Customer Relationship Management, Business to Business eCommerce & Business to Consumer eCommerce.  Main Income is from Software & It Related Services. The company operates in two segments viz software and ITeS(83%) and medical transcription(17%)[2018].",Reject
104,Company is engaged in providing retail store services.  Main Income is from Mobiles Phones,Reject
105,"Company is engaged in providing value-based information technology outsourcing services to businesses for enabling them to transform their business. The company provides information technology solutions and process consulting that reengineer and transform business processes to help companies meet their organizational objectives; and solutions to drive third generation outsourcing services, such as SaaS, portals, ECM, cloud computing, grid computing, SOA architecture, etc. It offers enterprise applications, such as Oracle E-Business Suite, PeopleSoft, Siebel, salesforce, ServiceMax, SAP, IBM Maximo, and IT governance; application development and maintenance services; mobility services; quality assurance and testing services; and analytics services, such as consulting and implementation services.   Main Income is from Software Development",Reject
106,"The company is engaged in offering information technology solutions and process consulting and solutions to drive third generation outsourcing services, such as SaaS.  Main Income is from Computer Software & Services",Reject
107,"Company is engaged in providing online meeting, desktop sharing, and remote support solutions. It allows customers to temporarily connect to their client’s computer over the Web to diagnose and fix problems, demonstrate difficult tasks, and respond to technical queries.   Main Income is from Software Services",Reject
108,"Company is engaged in providing services related to designing, development, and marketing of computer software; and providing data processing services, including computer consultancy, systems analysis, programming, and computer maintenance.   Main Income is from Software Related Activities",Reject
109,"The company is engaged in designing, manufacturing, installing, commissioning, and maintaining central air conditioning plants, packaged/ducted systems, and variable refrigerant flow systems and provides contracting services in electrification,etc.  Main Income is from Air Conditioning & Refrigeration Equipment. The company operates in two segments viz Electro Mechanical Projects & Packaged Airconditioning Systems(50%) and Professional electronics and industrial systems(50%)[2018].",Reject
110,"Company is engaged in the providing Cloud Services, and Analytics. further, the Company's solutions include Midas for Oracle, its digital solutions include content management system, and e-commerce, including business-to-business (B2B) e-commerce and business-to-consumer (B2C) e-commerce.   Main Income is from Software Services",Reject
111,"Company is engaged in providing IT Sourcing Consultancy, IT Sourcing Engagement Set-up, IT Project Monitoring & IT Project Quality Monitoring, Back-office Management.  Main Income is from Resourcing Fees",Reject
112,"Company is engaged in providing ecommerce, creative, and content solutions. Its services include application and infrastructure support, front-end and back-end development, technology audits/roadmaps;  custom application development  Furthermore, it offers brand and identity planning, campaign analytics, channel planning, competitive audit, data strategy, Ecommerce growth and product strategy, and strategic consulting services; and systems intergradations, B2C and B2B implementations, technical roadmaps and platform assessments, and PIMs and MDMs implementation services  Main Income is from It Consulting Services",Reject
113,"The company is engaged in wholesale distribution of electrical appliances, television and radio sets.  Main Income is from Audio Systems",Reject
114,The company is engaged in providing online assessment platform. Main income not available.,Reject
115,"The company is engaged in providing digital marketing solutions and computer software development services to businesses, agencies, and online publishers worldwide. It operates through Digital Marketing and Software Development segments.  Main Income is from Computer Software",Reject
116,"company is engaged in providing strategy and business process consulting, systems implementation and integration, and outsourced business services for supply chain management operations. The company offers its services via traditional on-premise, hosted, Software as a Service, and business process outsourcing models. It also provides outsourced software product development services to independent software vendors related to systems integration and deployments.   Main Income is from Income From Services",Reject
117,The company is engaged in providing rovide clinical laboratory testing services. Main Income is from Testing & Analysis Services. The company operates in two segments viz Social Audit and other services(15%) and testing and analysis(8%)[2018].,Reject
118,"Company is engaged in providing rail simulators, including hardware and software. It provides computer based traing, assessment software and learning management software.  Main Income is from Software Solution",Reject
119,The company is engaged as a leading securities depository in the country.  Main Income is from On Line Data Charges,Reject
120,Company is engaged in providing venture capital investment services.  Main Income is from Services. The company operates in two segments viz ITeS(85%) and IT Services(15%)[2018].,Reject
121,"Company is engaged in the business of providing information technology services and IT enabled services like business consulting services, product development services, recruitment process outsourcing, HR support services, financial outsourcing and retail BPO services. It provide front office, middle office and back office services.  Main Income is from Software Development. The company operates in 2 segments, It Enabled Services (84.56%), It Services (15.44%)[2018].
",Reject
122,"Company is engaged in providing software design and development, application maintenance, business process services and infrastructure management services.  Main Income is from Income From Software Services",Reject
123,"Company is engaged in providing software products and services. It offers outsourcing software development services; custom software development services; Web application services; Web content management system solutions, such as e-commerce, PHP, and custom ERP solutions; and mobile application development services.  Main Income is from Income From Software & Services",Accept
124,Company is engaged in providing overseas education consultation  Main Income is from Books & Study Materials,Reject
125,The company is engaged in offering freight transportation and feeder services.  Main Income is from Services,Reject
126,"Company is engaged in providing IT services. The Company offers application and content management, infrastructure consulting, IT strategy, customers relationship, and architecture services. CSM Technologies serves automotive, government, hospitality, and healthcare industries worldwide.  Main Income is from Services",Reject
127,"Company is engaged in providing other financial services. The Company offers payment, core, and other banking services.   Main Income is from Information Technology & Consultancy Services",Reject
128,Company is engaged in providing development or modifyication of computer software and packaging.  Main Income is from Software Exports & Related Services. The company operates in two segments viz software exports and related services(89%) and marketing technical support(11%)[2018].,Reject
129,"Company is engaged in providing  documentation engineering and IT services for the aerospace industry. It develops a documentary workshop to manage, produce, and assemble documentary units; solutions to generate and view SGML publications through a Internet browser; to generate and view SGML/XML publications; to data capture, consolidate; to prepare, publish, and view documentation data; an information system that combines documentation and training; and an LMS platform, which distributes open e-learning training or internal training courses.   Main Income is from Documentation Engineering Services",Reject
130,"Company is engaged in providing knowledge process outsourcing services. It offers geospatial engineering design and development services, including geographic information system (GIS) data, GIS application development, and mapping services; and telecom and CATV services, such as field survey and consultation, network planning and specialization, network design and documentation, and fiber management services.   Main Income is from Software",Reject
131,"Company is engaged in providing service oriented architecture based enterprise transformation and integration solutions, and services. The company offers application development services and cloud solutions; application migration and transformation services; development services; identity access and management solutions; infrastructure management services; and application management and support services that provide support services for applications, middleware, infrastructure platforms, and technologies. In addition, the company provides artificial intelligence services; big data services, including data potential, data warehouse, data analytics and visualization, and data value services. Further, it offers cloud services comprising cloud strategy, cloud transformation and migration, cloud Software as a Service development, and managed services.  Main Income is from Software Development. The company operates in two segments viz software development services(58%) and software licences(42%)[2018].",Reject
132,company is engaged in providing manufacturing of digital imaging products  Main Income is from Cameras,Reject
133,Company is engaged in providing manufacturing of auto components.  Main Income is from Steel Metal Components & Allied Products. The company operates in two segments viz Automotive(97%) and others(3%)[2018].,Reject
134,"Company is engaged in providing information technology (IT) and IT-enabled operations, offshore outsourcing solutions and business process outsourcing services to large and medium-sized organizations. The company's services include customized and packaged application development, application maintenance outsourcing, business intelligence, and application re-engineering services. It has operations in India, the United States, Australia, Switzerland, and Malaysia.   Main Income is from Software Development And Services",Reject
135,Company is engaged in providing investment management solutions online.  Main Income is from Software & Databases,Reject
136,"Company is engaged in providing software development services. The company develops its solutions in the areas of Internet technologies, client/server technology, and platform migration and reengineering. It also offers business process outsourcing services; consultancy services in the fields of software and allied services; and professional and training services.  Main Income is from Software Services",Reject
137,"Company is engaged in providing risk management software solutions for banks. Its products and solutions include credit risk, operational risk, market risk, international financial reporting standards, fund transfer pricing, and asset liability management software solutions.   Main Income is from Sale Of Licenses & Services. The company operates in two segments viz risk solutions(92%) and advisory(8%)[2018].",Reject
138,"Company is engaged in providing automation and electrification systems for ports and terminals to crane electrification, shore power, vessel charging, propulsion, and automated mooring markets; and ground support equipment for commercial and military applications  Main Income is from Services",Reject
139,Company is engaged in providing Enterprise Geospatial & Engineering Services; Software Products; and Power Generation. It is involved in the  retail sale of non-customized software products.  Main Income is from Enterprise Geospatial & Engineering Solution. The company operates in two segments viz enterprise geospatial & engineering solution and products(98%) and power generation(15%)[2017].,Reject
140,"Company is engaged in providing, a product engineering services, offers offshore product development services and solutions. It also provides outsourcing engineering services and solutions for product development lifecycle from concept to customer. The company’s services include new product development, current product engineering, testing and quality assurance, and professional services. It serves technology companies in the media and entertainment, print and publishing, consumer electronics, enterprise, independent software vendors, corporate, and communication industries.  Main Income is from Software Development Services. The company operates in two segments viz software services(52%) and infrastructure services(48%)[2018].",Reject
141,Company is engaged in providing learning solutions.  Main Income is from Printed Books/Web Based Sale,Reject
142,"company is engaged in providing digitisation, cloud servivces, networking and security services  Main Income is from Software Development Services. The company operates in two segments viz ITeS(23%) and Software development(77%)[2017].",Reject
143,"Company is engaged in providing  IT hardware and software infrastructure, such as security, networking, server, storage, endpoint, operating system, and application software products.  Further, it provides medical transcription services; e-waste recycling and management, repair and refurbishment, and data destruction services; IT training and consulting, as well as IT solutions comprising LPO, BPO, and KPO services.  Main Income is from Traded Items- Hardware",Reject
144,"company is engaged in providing business process management services. The company offers knowledge management, publishing, research and business information, legal and intellectual property, and event organization services. Additionally, it provides process consulting, patent research, data management, and market analysis services. The company caters to publishing, research, legal, and event management companies.  Main Income is from Information Technology Enabled Services",Reject
145,Company is engaged in providing water treatment facilities  Main Income is from Chemicals,Reject
146,Company is engaged in providing manufacturing of chlor alkali  Main Income is from Caustic Soda Lye. The company operates in one segment chemical & related products/services(100%)[2018].,Reject
147,Company is engaged in providing packet and optical networking equipment.  Main Income is from Services,Reject
148,"Company is engaged in providing open source enterprise solutions for organizations. It offers enterprise solutions across Web content management, portals and social collaboration, e-commerce, digital asset management, documents and records management, business process management, business intelligence, ERP, CRM, and SOA.   Main Income is from Income From Operations",Reject
149,"Company is engaged in providing software testing services. The Company offers Quality Engineering, Advisory and Transformation, Next Generation Testing and Core Testing. The Company's Quality Engineering Services include Agile Testing, DevOps quality assurance (QA), Service Virtualization and Test Data Management. The Company's Advisory and Transformation Services include test advisory services and test transformation services. The Company's Next Generation Testing Services include mobile testing, digital QA, Big Data and analytics testing, e-commerce testing, energy and utilities, medical device testing and game testing. Its services include functional testing, test automation, performance testing, security testing, enterprise resource planning (ERP) testing, regression testing and globalization testing.  Main Income is from Software Services",Reject
150,"Company is engaged in providing mass print customization services.  Further, it provides retail partner and franchise, online printing, digital, Website design and hosting, and email marketing services, as well as order referral and other third-party services.  Main Income is from It Enabled Services",Reject
151,company is engaged in providing biochemical research  Main Income is from Tablets & Capsules,Reject
152,"Company is engaged in providing analytics software, cloud management systems, servers, routers, and other related products in India. Main Income is from Software Development.The company operates in four segments viz R&D(62%), marketing support(18%), technical support services(10%) and others(10%)[2016].",Reject
153,"Company is engaged in providing engineering, information management, and consulting services for the energy and power, pulp and paper, and other technology-dependent industries in India.  Main Income is from Engineering Services",Reject
154,"Company is engaged in providing Internet and Intranet services, data center solutions, custom Wi-Fi solutions, and managed services. In addition, it provides SIP based voice over Internet protocol solutions. Further, the company offers network, TV streaming, triple play, and digital TV, as well as digital head ends.   Main Income is from Isp Services",Reject
155,"Company is engaged in providing digital solutions, software applications, and technology-based outsourcing services. It offers solutions in the areas of business-critical application design, development, and support; customer service and asset management; cloud computing; information, management, and teaching tools to schools; on-demand resource management; integrated payment; and clinical information management systems.  Main Income is from Software Development Services",Reject
156,"Company is engaged in providing outsourced product development and software services company that develops cloud platforms, cloud products, and scalable applications. The company specializes in DevOps, storage, cloud computing, and big data domains. It offers product lifecycle, testing, corporate training, cloud computing, storage development, enterprise application, and big data services.   Main Income is from It Support Services",Reject
